epoch,accuracy,loss,val_accuracy,val_loss
0,0.93163001537323,0.18993696570396423,0.9096930623054504,0.27975162863731384
1,0.9755899906158447,0.07149725407361984,0.9636396765708923,0.11854402720928192
2,0.9828000068664551,0.05104929208755493,0.9441348314285278,0.19728830456733704
3,0.9876099824905396,0.038056351244449615,0.963731050491333,0.1315091997385025
4,0.9902200102806091,0.030303113162517548,0.9641878604888916,0.1324421912431717
5,0.9920700192451477,0.025049405172467232,0.9737346768379211,0.11765876412391663
6,0.9932799935340881,0.022951895371079445,0.9756988883018494,0.11252110451459885
7,0.9944999814033508,0.01846468448638916,0.9735519886016846,0.11240141093730927
8,0.9949100017547607,0.01757340505719185,0.9682532548904419,0.16048364341259003
9,0.9952399730682373,0.016093872487545013,0.9774803519248962,0.11884018033742905
10,0.9958299994468689,0.013902727514505386,0.9778001308441162,0.11711104214191437
11,0.9958699941635132,0.014875904656946659,0.9779371619224548,0.11397659033536911
12,0.9962999820709229,0.012332095764577389,0.9736433625221252,0.15105284750461578
13,0.9966700077056885,0.011405032128095627,0.9700803756713867,0.17602349817752838
14,0.9968500137329102,0.011268972419202328,0.97857666015625,0.1431131362915039
15,0.9971699714660645,0.01067378744482994,0.9805865287780762,0.1217338889837265
16,0.9973199963569641,0.010332014411687851,0.9778914451599121,0.1405726820230484
17,0.9973199963569641,0.010217525996267796,0.9783939123153687,0.12565045058727264
18,0.9976199865341187,0.007980707101523876,0.9806779026985168,0.15280066430568695
19,0.9973800182342529,0.008992522954940796,0.9790334105491638,0.14924776554107666
20,0.9980199933052063,0.007597603369504213,0.97825688123703,0.14133808016777039
21,0.9975500106811523,0.009213147684931755,0.9774346947669983,0.15307609736919403
22,0.9977099895477295,0.007834075950086117,0.9833272695541382,0.13114741444587708
23,0.9979000091552734,0.007659542839974165,0.9790334105491638,0.1580224484205246
24,0.9982200264930725,0.006662498693913221,0.9710853099822998,0.20746731758117676
25,0.9983599781990051,0.006211460568010807,0.9818198680877686,0.1551429033279419
26,0.997979998588562,0.00758858909830451,0.9795358777046204,0.15922489762306213
27,0.9983999729156494,0.005378663539886475,0.9816827774047852,0.16170157492160797
28,0.9983000159263611,0.006346721667796373,0.9821852445602417,0.15463292598724365
29,0.9983199834823608,0.006683371029794216,0.9784852862358093,0.17089885473251343
30,0.9986100196838379,0.005057450383901596,0.9786680340766907,0.16947533190250397
31,0.9984400272369385,0.00623527355492115,0.9774346947669983,0.18089185655117035
32,0.9986500144004822,0.005665791220963001,0.9809519648551941,0.16142161190509796
33,0.9986799955368042,0.004856911022216082,0.9789877533912659,0.17158620059490204
34,0.9986799955368042,0.005724493879824877,0.9772519469261169,0.21892833709716797
35,0.9988700151443481,0.004463989287614822,0.9739630818367004,0.2307366281747818
36,0.9987599849700928,0.004501233343034983,0.9832358956336975,0.15439796447753906
37,0.9987000226974487,0.0046401540748775005,0.9794445633888245,0.17955724895000458
38,0.9987999796867371,0.0057630883529782295,0.9807235598564148,0.1762819141149521
39,0.9982900023460388,0.006382305175065994,0.9794445633888245,0.1783217489719391
40,0.9990500211715698,0.003965702839195728,0.9760186076164246,0.20093928277492523
41,0.9991099834442139,0.00373100396245718,0.9814087152481079,0.19213229417800903
42,0.9989799857139587,0.0037744930014014244,0.9802667498588562,0.19954322278499603
43,0.9986799955368042,0.004903600085526705,0.9774803519248962,0.23846976459026337
44,0.9989799857139587,0.004337607882916927,0.9803581237792969,0.18343625962734222
45,0.9987499713897705,0.004727378021925688,0.9830988645553589,0.19678452610969543
46,0.9988300204277039,0.004810801241546869,0.9801297187805176,0.22450000047683716
47,0.9988600015640259,0.004844134207814932,0.9818198680877686,0.1970122903585434
48,0.9992300271987915,0.002930873306468129,0.981317400932312,0.23128974437713623
49,0.9992799758911133,0.0026980736292898655,0.9815914630889893,0.22525861859321594
